seq_id,ct10_id,hh10,quarter,veh_tot,pass_veh,ovrlp_pct,best_geo,veh_phh,mipday_phh,veh_lo,veh_medlo,veh_medhi,veh_hi,veh_vhi,comm_veh,mipdaypass,mipdaybest,mipdaycomm,mipdaytot,pass_vmt,comm_vmt,tot_vmt,passvehage,mpg_eff,glpdaypass,co2eqv_day,co2eqv_hh,pass_hybrd,comm_hybrd,tot_hybrd,pass_elect,comm_elect,tot_elect
34073,25003922200,1668,2014_q4,3059.7472,2910.2412,0.3574,908,1.74,44.7164,1714,256,257,209,71,149.506,25.6991,25.5857,29.1459,25.8207,74790.5796,4357.4869,79004.8145,9.6,20.1127,3718.5789,33.6748,0.0202,15,0,15,0,0,0
34074,25003922300,900,2014_q4,1733.5976,1687.9856,0.3481,500,1.88,49.0834,978,157,144,121,43,45.612,26.1082,25.9896,49.4606,26.7509,44070.2656,2255.9969,46375.296,9.45,20.5191,2147.7679,19.4498,0.0216,13,0,13,0,0,0
34075,25003923100,1403,2014_q4,3203.0062,3100.0072,0.362,937,2.21,62.5198,1605,256,301,262,87,102.999,28.2895,28.3821,22.8586,28.2116,87697.6537,2354.4129,90361.9297,9.25,20.1134,4360.151,39.4848,0.0281,29,0,29,0,0,0
34076,25003924100,919,2014_q4,1848.0564,1705.0562,0.3431,447,1.86,55.0365,807,103,137,132,51,143.0002,29.5895,29.8005,25.2297,29.5184,50451.7604,3607.8521,54551.668,9.02,20.7529,2431.0695,22.0154,0.024,35,0,35,0,0,0
34077,25003925100,2879,2014_q4,5560.9622,5199.9684,0.3471,1470,1.81,52.4587,2621,414,427,438,177,360.9938,28.9827,29.1281,34.1675,29.2581,150709.1241,12334.2557,162703.1881,9.28,21.1602,7122.2992,64.4984,0.0224,140,4,144,1,0,1
34078,25003926100,1424,2014_q4,3487.9552,3198.9534,0.3256,819,2.25,66.5654,1560,203,239,265,110,289.0018,29.5846,29.8884,27.0033,29.4264,94639.7568,7804.0023,102637.9649,9.52,20.236,4676.8009,42.3523,0.0297,43,1,44,1,0,1
34079,25003931100,675,2014_q4,1479.0225,1443.0222,0.3589,461,2.14,51.2759,826,116,131,89,26,36.0003,23.9607,24.1316,30.1326,24.0518,34575.822,1084.7826,35573.1534,9.1,19.6834,1756.5965,15.9075,0.0236,13,0,13,0,0,0
34080,25003931300,606,2014_q4,1565.9822,1546.982,0.3258,412,2.55,76.3309,835,98,115,152,66,19.0002,29.9337,29.7109,9.2027,29.7112,46306.8951,174.8531,46527.2103,10.26,19.982,2317.4262,20.9862,0.0346,9,0,9,0,0,0
34081,25003931400,705,2014_q4,1770.0776,1739.0775,0.3547,501,2.47,78.1859,864,121,151,186,87,31.0001,31.6542,31.9875,45.0283,31.7955,55049.107,1395.8818,56280.5023,9.22,19.2778,2855.572,25.8596,0.0367,19,0,19,1,0,1
34082,25003932200,988,2014_q4,2556.0909,2460.0924,0.3428,654,2.49,85.1981,1174,142,186,290,132,95.9985,34.2161,34.5592,38.434,34.3074,84174.7676,3689.6063,87692.8329,9.6,20.1654,4174.2081,37.801,0.0383,27,1,28,0,0,0
